"setup_id","real_pipeline_decision","real_blocker","shadow_entry","shadow_stop","shadow_tp1","shadow_reason"
"setup_shadow_1","NO_TRADE","historical_mode","30723.25","30717.75","30731.5","entry_ready_shadow_memory"
"setup_shadow_3","NO_TRADE","ob_missing","30721.25","30720.0","30723.125","entry_ready_shadow_memory"
"setup_shadow_6","NO_TRADE","historical_mode","30724.75","30730.0","30716.875","entry_ready_shadow_memory"
"setup_shadow_10","NO_TRADE","build_signal_returned_none","30717.25","30711.5","30725.875","entry_ready_shadow_memory"
"setup_shadow_13","NO_TRADE","risk_engine:absorci\xf3n en contra","30718.75","30715.5","30723.625","entry_ready_shadow_memory"
"setup_shadow_17","NO_TRADE","duplicate_signal","30702.25","30708.25","30693.25","entry_ready_shadow_memory"
"setup_shadow_18","NO_TRADE","risk_engine:absorci\xf3n en contra","30692.0","30688.25","30697.625","entry_ready_shadow_memory"
"setup_shadow_20","NO_TRADE","risk_engine:absorci\xf3n en contra","30689.75","30707.5","30663.125","entry_ready_shadow_memory"
"setup_shadow_21","NO_TRADE","historical_mode","30706.75","30701.5","30714.625","entry_ready_shadow_memory"
"setup_shadow_23","NO_TRADE","historical_mode","30676.0","30674.75","30677.875","entry_ready_shadow_memory"
"setup_shadow_26","NO_TRADE","risk_engine:absorci\xf3n en contra","30689.25","30693.5","30682.875","entry_ready_shadow_memory"
"setup_shadow_29","NO_TRADE","timing_invalid","30697.75","30698.75","30696.25","entry_ready_shadow_memory"
"setup_shadow_30","NO_TRADE","historical_mode","30692.0","30688.25","30697.625","entry_ready_shadow_memory"
"setup_shadow_32","NO_TRADE","historical_mode","30697.75","30701.75","30691.75","entry_ready_shadow_memory"
"setup_shadow_35","NO_TRADE","build_signal_returned_none","30729.75","30721.0","30742.875","entry_ready_shadow_memory"
"setup_shadow_36","NO_TRADE","historical_mode","30730.5","30738.25","30718.875","entry_ready_shadow_memory"
